film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,1,NULL,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
4,"AFFAIR PREJUDICE","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank",2006,1,NULL,5,2.99,117,26.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
11,"ALAMO VIDEOTAPE","A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention",2006,1,NULL,6,0.99,126,16.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
13,"ALI FOREVER","A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies",2006,1,NULL,4,4.99,150,21.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
14,"ALICE FANTASIA","A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia",2006,1,NULL,6,0.99,94,23.99,NC-17,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
15,"ALIEN CENTER","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention",2006,1,NULL,5,2.99,46,10.99,NC-17,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
17,"ALONE TRIP","A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House",2006,1,NULL,3,0.99,82,14.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
18,"ALTER VICTORY","A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies",2006,1,NULL,6,0.99,57,27.99,PG-13,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
19,"AMADEUS HOLY","A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon",2006,1,NULL,6,0.99,113,20.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
20,"AMELIE HELLFIGHTERS","A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon",2006,1,NULL,4,4.99,79,23.99,R,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
21,"AMERICAN CIRCUS","A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank",2006,1,NULL,3,4.99,129,17.99,R,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
22,"AMISTAD MIDSUMMER","A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California",2006,1,NULL,6,2.99,85,10.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
24,"ANALYZE HOOSIERS","A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert",2006,1,NULL,6,2.99,181,19.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
27,"ANONYMOUS HUMAN","A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank",2006,1,NULL,7,0.99,179,12.99,NC-17,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
28,"ANTHEM LUKE","A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park",2006,1,NULL,5,4.99,91,16.99,PG-13,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
30,"ANYTHING SAVANNAH","A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House",2006,1,NULL,4,2.99,82,27.99,R,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
31,"APACHE DIVINE","A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat",2006,1,NULL,5,4.99,92,16.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
33,"APOLLO TEEN","A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft",2006,1,NULL,5,2.99,153,15.99,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
35,"ARACHNOPHOBIA ROLLERCOASTER","A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station",2006,1,NULL,4,2.99,147,24.99,PG-13,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
38,"ARK RIDGEMONT","A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert",2006,1,NULL,6,0.99,68,25.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
41,"ARSENIC INDEPENDENCE","A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin",2006,1,NULL,4,0.99,137,17.99,PG,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
42,"ARTIST COLDBLOODED","A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California",2006,1,NULL,5,2.99,170,10.99,NC-17,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
43,"ATLANTIS CAUSE","A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank",2006,1,NULL,6,2.99,170,15.99,G,"Behind the Scenes","2006-02-15 05:03:42"
44,"ATTACKS HATE","A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft",2006,1,NULL,5,4.99,113,21.99,PG-13,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
45,"ATTRACTION NEWTON","A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan",2006,1,NULL,5,4.99,83,14.99,PG-13,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
46,"AUTUMN CROW","A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert",2006,1,NULL,3,4.99,108,13.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
48,"BACKLASH UNDEFEATED","A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery",2006,1,NULL,3,4.99,118,24.99,PG-13,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
49,"BADMAN DAWN","A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat",2006,1,NULL,6,2.99,162,22.99,R,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
50,"BAKED CLEOPATRA","A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery",2006,1,NULL,3,2.99,182,20.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
53,"BANG KWAI","A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park",2006,1,NULL,5,2.99,87,25.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
55,"BARBARELLA STREETCAR","A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery",2006,1,NULL,6,2.99,65,27.99,G,"Behind the Scenes","2006-02-15 05:03:42"
58,"BEACH HEARTBREAKERS","A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia",2006,1,NULL,6,2.99,122,16.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
60,"BEAST HUNCHBACK","A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China",2006,1,NULL,3,4.99,89,22.99,R,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
63,"BEDAZZLED MARRIED","A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House",2006,1,NULL,6,0.99,73,21.99,PG,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
64,"BEETHOVEN EXORCIST","A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico",2006,1,NULL,6,0.99,151,26.99,PG-13,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
65,"BEHAVIOR RUNAWAY","A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin",2006,1,NULL,3,4.99,100,20.99,PG,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
68,"BETRAYED REAR","A Emotional Character Study of a Boat And a Pioneer who must Find a Explorer in A Shark Tank",2006,1,NULL,5,4.99,122,26.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
71,"BILKO ANONYMOUS","A Emotional Reflection of a Teacher And a Man who must Meet a Cat in The First Manned Space Station",2006,1,NULL,3,4.99,100,25.99,PG-13,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
75,"BIRD INDEPENDENCE","A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies",2006,1,NULL,6,4.99,163,14.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
76,"BIRDCAGE CASPER","A Fast-Paced Saga of a Frisbee And a Astronaut who must Overcome a Feminist in Ancient India",2006,1,NULL,4,0.99,103,23.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
77,"BIRDS PERDITION","A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California",2006,1,NULL,5,4.99,61,15.99,G,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
79,"BLADE POLISH","A Thoughtful Character Study of a Frisbee And a Pastry Chef who must Fight a Dentist in The First Manned Space Station",2006,1,NULL,5,0.99,114,10.99,PG-13,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
