payment_id,customer_id,staff_id,rental_id,amount,payment_date,last_update
3,1,1,1185,5.99,"2005-06-15 00:54:12","2006-02-15 22:12:30"
5,1,2,1476,9.99,"2005-06-15 21:08:46","2006-02-15 22:12:30"
10,1,2,4526,5.99,"2005-07-08 03:17:05","2006-02-15 22:12:30"
11,1,1,4611,5.99,"2005-07-08 07:33:56","2006-02-15 22:12:30"
14,1,1,6163,7.99,"2005-07-11 10:13:46","2006-02-15 22:12:30"
32,1,1,15315,5.99,"2005-08-22 20:03:46","2006-02-15 22:12:30"
36,2,1,5755,6.99,"2005-07-10 12:38:56","2006-02-15 22:12:30"
38,2,1,7376,5.99,"2005-07-27 15:23:02","2006-02-15 22:12:30"
39,2,2,7459,5.99,"2005-07-27 18:40:20","2006-02-15 22:12:30"
40,2,2,8230,5.99,"2005-07-29 00:12:59","2006-02-15 22:12:30"
42,2,2,8705,5.99,"2005-07-29 17:14:29","2006-02-15 22:12:30"
44,2,2,9236,10.99,"2005-07-30 13:47:43","2006-02-15 22:12:30"
46,2,2,9296,6.99,"2005-07-30 16:21:13","2006-02-15 22:12:30"
47,2,2,9465,6.99,"2005-07-30 22:39:53","2006-02-15 22:12:30"
51,2,1,11087,5.99,"2005-08-02 07:41:41","2006-02-15 22:12:30"
52,2,1,11177,6.99,"2005-08-02 10:43:48","2006-02-15 22:12:30"
57,2,2,14743,5.99,"2005-08-21 22:41:56","2006-02-15 22:12:30"
62,3,1,1546,8.99,"2005-06-16 01:34:05","2006-02-15 22:12:30"
63,3,1,1726,6.99,"2005-06-16 15:19:10","2006-02-15 22:12:30"
64,3,2,1911,6.99,"2005-06-17 05:15:15","2006-02-15 22:12:30"
68,3,1,7096,5.99,"2005-07-27 04:54:42","2006-02-15 22:12:30"
69,3,2,7503,10.99,"2005-07-27 20:23:12","2006-02-15 22:12:30"
70,3,2,7703,7.99,"2005-07-28 03:59:21","2006-02-15 22:12:30"
71,3,2,7724,6.99,"2005-07-28 04:46:30","2006-02-15 22:12:30"
79,3,2,10597,5.99,"2005-08-01 14:19:48","2006-02-15 22:12:30"
81,3,1,13403,8.99,"2005-08-19 22:18:07","2006-02-15 22:12:30"
83,3,2,14699,8.99,"2005-08-21 20:50:48","2006-02-15 22:12:30"
91,4,1,2642,5.99,"2005-06-19 09:39:01","2006-02-15 22:12:30"
95,4,1,9100,5.99,"2005-07-30 08:46:09","2006-02-15 22:12:30"
96,4,1,9371,5.99,"2005-07-30 18:58:00","2006-02-15 22:12:30"
101,4,2,12294,8.99,"2005-08-18 05:14:44","2006-02-15 22:12:30"
104,4,1,13807,6.99,"2005-08-20 12:55:40","2006-02-15 22:12:30"
109,5,1,1085,6.99,"2005-05-31 11:15:43","2006-02-15 22:12:30"
119,5,2,5118,5.99,"2005-07-09 07:13:52","2006-02-15 22:12:30"
122,5,1,6042,8.99,"2005-07-11 03:17:04","2006-02-15 22:12:30"
137,5,1,12145,9.99,"2005-08-18 00:10:04","2006-02-15 22:12:30"
141,5,2,14053,6.99,"2005-08-20 22:13:59","2006-02-15 22:12:30"
142,5,1,14430,6.99,"2005-08-21 11:31:11","2006-02-15 22:12:30"
156,6,2,6211,5.99,"2005-07-11 12:39:01","2006-02-15 22:12:30"
157,6,1,6248,7.99,"2005-07-11 15:01:54","2006-02-15 22:12:30"
165,6,1,11591,6.99,"2005-08-17 02:29:41","2006-02-15 22:12:30"
169,6,2,13451,6.99,"2005-08-20 00:18:25","2006-02-15 22:12:30"
170,6,1,14329,7.99,"2005-08-21 08:22:56","2006-02-15 22:12:30"
172,6,1,15509,5.99,"2005-08-23 02:51:24","2006-02-15 22:12:30"
174,7,2,46,5.99,"2005-05-25 06:04:08","2006-02-15 22:12:30"
178,7,1,1063,5.99,"2005-05-31 08:44:29","2006-02-15 22:12:30"
184,7,2,3639,5.99,"2005-07-06 07:09:17","2006-02-15 22:12:31"
186,7,2,4787,5.99,"2005-07-08 16:16:04","2006-02-15 22:12:31"
188,7,1,5441,8.99,"2005-07-09 21:52:05","2006-02-15 22:12:31"
189,7,1,5921,7.99,"2005-07-10 21:35:12","2006-02-15 22:12:31"
193,7,2,8422,5.99,"2005-07-29 07:02:55","2006-02-15 22:12:31"
194,7,2,9624,7.99,"2005-07-31 04:30:03","2006-02-15 22:12:31"
195,7,2,10330,6.99,"2005-08-01 04:57:04","2006-02-15 22:12:31"
196,7,1,10423,5.99,"2005-08-01 08:19:53","2006-02-15 22:12:31"
200,7,2,11542,7.99,"2005-08-17 00:51:32","2006-02-15 22:12:31"
201,7,1,12367,8.99,"2005-08-18 07:57:14","2006-02-15 22:12:31"
206,7,1,14222,5.99,"2005-08-21 04:49:48","2006-02-15 22:12:31"
207,8,2,866,6.99,"2005-05-30 03:43:54","2006-02-15 22:12:31"
209,8,1,2095,5.99,"2005-06-17 18:21:35","2006-02-15 22:12:31"
211,8,1,3475,5.99,"2005-07-05 23:01:21","2006-02-15 22:12:31"
224,8,1,11232,9.99,"2005-08-02 13:04:12","2006-02-15 22:12:31"
228,8,1,15374,7.99,"2005-08-22 22:09:09","2006-02-15 22:12:31"
234,9,2,3142,7.99,"2005-06-20 19:59:28","2006-02-15 22:12:31"
241,9,1,6165,5.99,"2005-07-11 10:17:29","2006-02-15 22:12:31"
247,9,2,11400,5.99,"2005-08-02 19:00:52","2006-02-15 22:12:31"
252,9,2,14489,7.99,"2005-08-21 13:53:59","2006-02-15 22:12:31"
263,10,1,5038,7.99,"2005-07-09 03:12:52","2006-02-15 22:12:31"
268,10,2,8001,6.99,"2005-07-28 15:10:55","2006-02-15 22:12:31"
271,10,2,10671,8.99,"2005-08-01 17:09:59","2006-02-15 22:12:31"
278,10,1,15370,5.99,"2005-08-22 21:59:29","2006-02-15 22:12:31"
279,11,1,987,6.99,"2005-05-30 22:59:12","2006-02-15 22:12:31"
280,11,1,1470,6.99,"2005-06-15 20:53:07","2006-02-15 22:12:31"
281,11,1,1939,7.99,"2005-06-17 07:26:45","2006-02-15 22:12:31"
285,11,2,5835,5.99,"2005-07-10 16:44:58","2006-02-15 22:12:31"
286,11,2,6146,6.99,"2005-07-11 09:09:59","2006-02-15 22:12:31"
292,11,1,8950,9.99,"2005-07-30 03:17:13","2006-02-15 22:12:31"
293,11,2,9292,6.99,"2005-07-30 16:08:21","2006-02-15 22:12:31"
295,11,2,11166,6.99,"2005-08-02 10:14:58","2006-02-15 22:12:31"
297,11,2,12015,5.99,"2005-08-17 19:32:44","2006-02-15 22:12:31"
305,12,2,1752,5.99,"2005-06-16 17:02:55","2006-02-15 22:12:31"
306,12,2,2434,5.99,"2005-06-18 18:11:51","2006-02-15 22:12:31"
307,12,2,2500,5.99,"2005-06-18 23:07:12","2006-02-15 22:12:31"
321,12,2,9238,5.99,"2005-07-30 13:49:43","2006-02-15 22:12:31"
322,12,1,9627,5.99,"2005-07-31 04:42:46","2006-02-15 22:12:31"
323,12,2,9708,5.99,"2005-07-31 07:45:33","2006-02-15 22:12:31"
324,12,2,10392,10.99,"2005-08-01 06:50:26","2006-02-15 22:12:31"
334,13,1,3047,8.99,"2005-06-20 12:45:33","2006-02-15 22:12:31"
336,13,1,6118,8.99,"2005-07-11 07:43:08","2006-02-15 22:12:31"
342,13,2,8831,11.99,"2005-07-29 22:37:41","2006-02-15 22:12:31"
